created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Dec 24 14:34:25 +0000 2023;1738931136968212670;"Yang masih Gagal paham pak Anies bilang penyebab polusi udara adalah Angin Simak gess pencerahannya";0;0;0;0;in;1605229851966730240;1738931136968212670;_Meneerreno69;https://twitter.com/_Meneerreno69/status/1738931136968212670
Sun Dec 24 14:30:34 +0000 2023;1738930166892830844;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  9:29pm jakarta rank 11 merah PM 2,5: 77 jakarta. Semoga jakarta bs segera bebas polusi asap bakar sampah https://t.co/m4xl6suiW4";0;0;0;1;in;1680198797744570369;1738615721423417824;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1738930166892830844
Sun Dec 24 13:48:50 +0000 2023;1738919663738966137;"Menyegarkan Udara: Pembakaran energi kotor bisa bikin penyakit parah, dan itu nggak asik, kan? Nah, dengan mengurangi energi kotor, udara jadi lebih bersih, buat hidup kita makin sehat dan fresh.  Kesehatan yang Menguntungkan: Polusi bisa bikin badan jadi rapuh, tapi kita punya";0;1;0;0;in;1521428815813423104;1738919646454284474;_rhmayyy;https://twitter.com/_rhmayyy/status/1738919663738966137
Sun Dec 24 13:40:57 +0000 2023;1738917681968144487;"Penggunaan energi fosil secara terus menerus menimbulkan dampak buruk seperti polusi lokal dan merusak iklim bumi. Dengan menggunakan energi hijau, kita dapat mengurangi polusi udara, kerusakan lingkungan, dan degradasi ekosistem.";0;1;0;0;in;1181157763222667264;1738914174871413177;Putrimellda1;https://twitter.com/Putrimellda1/status/1738917681968144487
Sun Dec 24 13:38:37 +0000 2023;1738917094673277085;"@thaiteaaal Najis banget undang dia, masih banyak yg lebih berkualitas sama suara merdu, ngapain dia bkin polusi udara aaja";0;0;0;0;in;1554129176890060800;1738885280575459755;RIOSYAH24997585;https://twitter.com/RIOSYAH24997585/status/1738917094673277085
Sun Dec 24 13:34:46 +0000 2023;1738916125394842110;"@hermangoranov 😊 halloo aku lama gak bs kepake pak. Gak bs login ke akun nya. Terpaksa bikin aku br deh 🙏";0;0;0;2;in;1680198797744570369;1738615721423417824;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1738916125394842110
Sun Dec 24 13:31:21 +0000 2023;1738915263951855921;"👆👆 musibah bencana asap dr bakaran sampah kembali melanda ibukota negara Republik indonesia.. bener2 sangat mengerikan semua keburukan yg dibiarkan terjadi.. bener2 kejem pemerintah republik Indonesai 🇮🇩";0;1;0;1;in;1680198797744570369;1738615721423417824;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1738915263951855921
Sun Dec 24 13:28:39 +0000 2023;1738914585783181484;"#Asean #Fifa #trending #southeastAsia #BakarSampah #iU17 #Ios17 #Iphone15 #Jakarta🇮🇩 #AirPollution #ndonesia #PolusiUdaraBencana  Polusi asap bakar sampah kembali meningkat pesat.. mengerikan 🤢 https://t.co/htgGeO8C7U";0;1;0;1;in;1680198797744570369;1738615721423417824;Polusi_udara01;https://twitter.com/Polusi_udara01/status/1738914585783181484
Sun Dec 24 13:18:05 +0000 2023;1738911928242819481;"@pu0blique Tidur krn mengurangi populasi manusia yg aktif, dan secara tidak langsung mengurangi polusi udara";0;0;0;1;in;1454850493889474565;1738909555982278874;dryezraxx;https://twitter.com/dryezraxx/status/1738911928242819481
Sun Dec 24 12:58:37 +0000 2023;1738907026749874532;"Ia masih menunggu perkembangan lebih lanjut mengenai kompensasi dari dampak buruk yang ditimbulkan dari adanya pengeboran. Ia menceritakan warga sekitar banyak yang merasa terganggu, akibat polusi udara yang diakibatkan dari pengeboran. https://t.co/BfNOpvZIgQ";0;1;1;6;in;214818815;1738906466193719628;nu_online;https://twitter.com/nu_online/status/1738907026749874532
